username,timestamp_utc,team,run_id,type,model,macro_f1,accuracy,precision,recall
abdksm-test,2026-02-18 09:57:41 UTC,team1,run_001,human,GCN,0.71535,0.797428,0.558621,0.566434
randomuser1194,2026-02-18 13:00:51 UTC,team2,run_001,human+llm,GAT,0.60367,0.646302,0.36,0.692308
